snapshot_utc,odds_event_id,commence_time,home,away,home_market_novig,away_market_novig,home_ml_odds,away_ml_odds,moneyline_books,total_line,over_market_novig,under_market_novig,over_odds,under_odds,total_books
2026-09-04 05:05:17.774044+00:00,9218b403d53014d099eb5bec35ae957c,2026-09-04 01:40:00+00:00,Seattle Mariners,Athletics,0.0288489003141959,0.9711510996858042,34.0,1.01,1,11.5,0.0893321769297484,0.9106678230702514,13.6,1.11,5
2026-09-04 05:05:17.774044+00:00,a7447a61565d33b1dcfb229c623b45cb,2026-09-04 02:10:01+00:00,Los Angeles Dodgers,St. Louis Cardinals,0.1498851824884776,0.8501148175115224,7.0,1.24,6,3.5,0.1900452789101193,0.8099547210898805,5.75,1.18,4
2026-09-04 05:05:17.774044+00:00,062e69d482e7d6bf3c2d654eca93bd44,2026-09-04 18:11:00+00:00,Cleveland Guardians,Detroit Tigers,0.5518987341772151,0.4481012658227847,1.77,2.18,9,8.5,0.4778067885117493,0.5221932114882506,2.03,1.87,7
2026-09-04 05:05:17.774044+00:00,dac0957aa5c5244daa20683be70be3d9,2026-09-04 22:11:00+00:00,Cincinnati Reds,Milwaukee Brewers,0.4035087719298246,0.5964912280701754,2.45,1.63,9,9.5,0.5,0.5,1.94,1.95,9
2026-09-04 05:05:17.774044+00:00,88620c3e43d7ed89b323b1d85e261c52,2026-09-04 22:41:00+00:00,Philadelphia Phillies,Atlanta Braves,0.5166240409207161,0.4833759590792837,1.93,2.02,9,6.5,0.521567809932607,0.478432190067393,1.83,2.05,6
2026-09-04 05:05:17.774044+00:00,c3750e470b5141a39a1efd04ef2e7b25,2026-09-04 22:46:00+00:00,Pittsburgh Pirates,Los Angeles Angels,0.6413301662707838,0.358669833729216,1.54,2.75,9,8.5,0.4803149606299213,0.5196850393700787,2.03,1.88,9
2026-09-04 05:05:17.774044+00:00,d19f536dd30580edd3b97db60957866f,2026-09-04 23:06:00+00:00,Baltimore Orioles,Boston Red Sox,0.4778067885117493,0.5221932114882506,2.07,1.85,9,8.5,0.4868421052631579,0.513157894736842,2.0,1.88,9
2026-09-04 05:05:17.774044+00:00,5f74d6675008f32d7fe295ab10bbf896,2026-09-04 23:10:00+00:00,Miami Marlins,Chicago Cubs,0.450632911392405,0.549367088607595,2.18,1.78,9,8.0,0.4895287958115184,0.5104712041884817,1.98,1.88,8
2026-09-04 05:05:17.774044+00:00,72e2e4b474c796cd0827a5637575bb7d,2026-09-04 23:11:00+00:00,New York Mets,San Francisco Giants,0.625,0.375,1.57,2.59,9,8.5,0.4768041237113402,0.5231958762886597,2.03,1.85,5
2026-09-04 05:05:17.774044+00:00,a78d8674e699409d8d881b105ba90acd,2026-09-04 23:16:00+00:00,Cleveland Guardians,Detroit Tigers,0.557840616966581,0.442159383033419,1.74,2.22,9,8.5,0.4895287958115184,0.5104712041884817,1.98,1.88,9
2026-09-04 05:05:17.774044+00:00,c7264d49b628c3dab7e70e7583b85424,2026-09-04 23:41:00+00:00,Chicago White Sox,Minnesota Twins,0.526854219948849,0.4731457800511509,1.86,2.07,9,9.5,0.4778067885117493,0.5221932114882506,2.01,1.87,5
2026-09-04 05:05:17.774044+00:00,d08cd8d7e7ee9c4a2c546a19da42d129,2026-09-05 00:06:00+00:00,Texas Rangers,Tampa Bay Rays,0.4884910485933504,0.5115089514066496,2.0,1.94,8,8.0,0.5,0.5,1.96,1.95,9
2026-09-04 05:05:17.774044+00:00,db6080ddc95ea130d0b1ecb4538eaed5,2026-09-05 00:10:00+00:00,Kansas City Royals,Toronto Blue Jays,0.5221932114882506,0.4778067885117493,1.85,2.07,9,9.5,0.5118110236220472,0.4881889763779528,1.88,2.0,9
2026-09-04 05:05:17.774044+00:00,3e11befa0d454e6d6a15358ce076b4cd,2026-09-05 00:11:00+00:00,Houston Astros,Arizona Diamondbacks,0.549367088607595,0.450632911392405,1.78,2.23,9,8.5,0.5295629820051414,0.4704370179948586,1.83,2.06,5
2026-09-04 05:05:17.774044+00:00,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05 00:41:00+00:00,Colorado Rockies,St. Louis Cardinals,0.4455696202531645,0.5544303797468354,2.19,1.76,9,11.5,0.4947643979057591,0.5052356020942408,1.95,1.93,9
2026-09-04 05:05:17.774044+00:00,2d3ba8f32a3003fe2c9866328f0b1a2b,2026-09-05 01:41:00+00:00,San Diego Padres,New York Yankees,0.4536082474226803,0.5463917525773196,2.15,1.81,9,7.5,0.4895287958115184,0.5104712041884817,1.98,1.91,9
2026-09-04 05:05:17.774044+00:00,e5841b22c4ba21de51634f16c9743bcb,2026-09-05 02:11:00+00:00,Los Angeles Dodgers,Washington Nationals,0.7261410788381742,0.2738589211618257,1.33,3.65,9,8.0,0.5104712041884817,0.4895287958115184,1.88,1.98,6
,d19f536dd30580edd3b97db60957866f,,Baltimore Orioles,Boston Red Sox,0.47780678851174935,0.5221932114882506,2.06,1.87,9,8.5,0.4869443686937551,0.5130556313062449,2.0,1.88,8
,c7264d49b628c3dab7e70e7583b85424,,Chicago White Sox,Minnesota Twins,0.5229591836734694,0.4770408163265307,1.87,2.07,9,9.5,0.4804177545691906,0.5195822454308093,2.02,1.85,6
,dac0957aa5c5244daa20683be70be3d9,,Cincinnati Reds,Milwaukee Brewers,0.40703517587939697,0.5929648241206029,2.41,1.64,9,9.5,0.5,0.5,1.95,1.95,9
,062e69d482e7d6bf3c2d654eca93bd44,,Cleveland Guardians,Detroit Tigers,0.5555555555555556,0.4444444444444444,1.76,2.2,9,8.0,0.518324607329843,0.48167539267015713,1.87,2.03,8
,a78d8674e699409d8d881b105ba90acd,,Cleveland Guardians,Detroit Tigers,0.5606060606060607,0.43939393939393945,1.77,2.22,9,8.0,0.5,0.5,1.93,1.95,6
,1b0e8aa1b257757991d6d1e3d3d0bab9,,Colorado Rockies,St. Louis Cardinals,0.4571428571428572,0.5428571428571429,2.15,1.79,9,11.5,0.47780678851174935,0.5221932114882506,2.04,1.88,9
,3e11befa0d454e6d6a15358ce076b4cd,,Houston Astros,Arizona Diamondbacks,0.5515463917525772,0.4484536082474227,1.78,2.19,9,9.0,0.47780678851174935,0.5221932114882506,2.03,1.85,7
,db6080ddc95ea130d0b1ecb4538eaed5,,Kansas City Royals,Toronto Blue Jays,0.5194805194805195,0.4805194805194806,1.87,2.06,9,10.0,0.4895287958115184,0.5104712041884817,1.98,1.88,8
,a7447a61565d33b1dcfb229c623b45cb,,Los Angeles Dodgers,St. Louis Cardinals,0.356896520647204,0.6431034793527959,6.25,1.68,6,3.5,0.4543381238421378,0.5456618761578622,2.55,1.81,4
